Mass,A-1,A-2,A-3,B-1,B-2,B-3,C-1,C-2,C-3
Colibactin,19068141.32,9836665.305,9882322.218,11810.86764,20654.04738,8745.82805,211575.6484,3409001.638,1342798.204
Colibactin prodrug,20343286.62,13530990.48,14332864.09,31901.66941,16732.47013,10560.32042,4383438.615,13276997.11,7130412.543
